cell_id,cathode_loading_density,cathode_porosity,cathode_AM_thickness,anode_loading_density,anode_porosity,anode_AM_thickness,calculated_NP_ratio,specific_capacity_0.1C,specific_capacity_0.2C,specific_capacity_0.5C,specific_capacity_1C,specific_capacity_2C,specific_capacity_3C,specific_capacity_5C,5C
189,15.53,18.61,45,10.33,26.39,62,1.18,157.89,158.33,134.01,109.69,71.98,44.85,21.32,
190,15.66,19.9,46.1,10.33,26.62,62.2,1.17,134.18,133.22,108.39,76.92,48.95,32.43,14.86,
191,15.66,19.55,45.9,10.33,27.9,63.3,1.17,162.76,157.34,139.25,126.66,88.64,53.41,21.85,
192,15.66,20.76,46.6,10.39,25.8,61.9,1.18,116.52,114.69,94.67,68.53,33.22,17.05,7.17,
193,15.66,19.38,45.8,10.33,28.8,64.1,1.17,146.15,137.76,109.88,71.07,38.46,22.38,9.09,
194,15.66,19.02,45.6,10.33,24.06,60.1,1.17,126.05,118.53,97.12,65.04,33.22,17.66,6.99,
195,15.28,23.02,46.8,10.33,29.24,64.5,1.2,140.86,127.69,98.84,61.47,28.23,13.71,5.11,
196,15.02,19.67,44.1,10.39,27.1,63,1.23,119.23,124.98,100.18,67.91,31.54,15.77,6.56,
197,15.02,22.49,45.7,10.33,24.44,60.4,1.22,138.74,117.05,89.15,54.88,27.99,15.77,5.83,
198,15.53,18.61,45,10.33,29.24,64.5,1.18,136.02,136.65,107.93,80.35,43.61,23.17,8.63,
199,15.41,18.74,44.7,10.33,26.39,62,1.19,121.42,113.87,82.4,46.31,21.78,11.91,4.53,
200,15.41,19.81,45.3,10.33,24.93,60.8,1.19,149.6,152.44,117.69,88.36,56.36,36.53,14.93,
201,15.53,20.73,46.2,10.39,23.84,60.3,1.19,145.46,132.78,106.52,63.88,32.51,18.41,6.61,
202,15.53,19.33,45.4,10.39,24.46,60.8,1.19,138.85,126.61,96.92,58.85,27.14,13.3,5.11,
203,15.15,27.09,49,10.46,33.98,70,1.22,172.36,157.81,119.24,95.03,72.54,54.29,35.23,
204,15.15,27.09,49,10.46,33.98,70,1.22,177.15,157.99,139.11,133.06,92.5,65.22,40.38,
205,15.15,27.09,49,10.39,34.39,70,1.22,167.92,149.48,124.3,96.68,62.24,40.73,22.55,
